IdAnnonce,Nom,Annee,Prix,PrixOrigine,TypePrix,Marque,Categorie,JourIntegration,EtatVelo,FlagElectrique,EtatVeloLabel
3397108,Super Six EVO 105 C,2014,780.0,2199.0,À Débattre,Cannondale,Route,2023-01-03 12:00:00,1,0,Usé
3338256,ORCA M21eLTD,2021,3199.0,6599.0,Ferme,Orbea,Route,2023-01-03 12:00:00,2,0,Bon État
3392468,Propel Advanced SL Disc 1,2022,5499.0,7800.0,Ferme,Giant,Aero / CLM,2023-01-03 12:00:00,2,0,Bon État
3389117,SENSIUM 600 DISC,2017,2049.0,2999.0,Ferme,Lapierre,Route,2023-01-03 12:00:00,2,0,Bon État
3365611,Madone 9.0,2018,2499.0,3999.0,Ferme,Trek,Route,2023-01-03 12:00:00,2,0,Bon État
3359385,Propel Advanced Pro Disc 0,2021,4499.0,6100.0,Ferme,Giant,Aero / CLM,2023-01-03 12:00:00,2,0,Bon État
3394791,Synapse Hi-MOD Ultegra,2017,2500.0,4200.0,À Débattre,Cannondale,Route,2023-01-03 12:00:00,2,0,Bon État
3372231,Synapse Carbon Disc Ultegra Di2,2016,2100.0,4299.0,Ferme,Cannondale,Route,2023-01-03 12:00:00,2,0,Bon État
3348868,ORCA M20LTD,2021,3600.0,4899.0,Ferme,Orbea,Route,2023-01-03 12:00:00,4,0,Comme Neuf
3399653,795 LIGHT RS METALLIC BLUE GLOSSY MAT,2020,3600.0,8000.0,Ferme,Look,Route,2023-01-03 12:00:00,2,0,Bon État
3396617,FOIL Team Issue,2016,2730.0,8000.0,Ferme,Scott,Aero / CLM,2023-01-03 12:00:00,2,0,Bon État
3351626,ORCA M20i LTD-D,2020,4200.0,5600.0,À Débattre,Orbea,Route,2023-01-03 12:00:00,4,0,Comme Neuf
3353214,765 OPTIMUM+ FULL BLACK MAT GLOSSY,2022,3300.0,3800.0,Ferme,Look,Route,2023-01-03 12:00:00,3,0,Très Bon État
3355204,Roubaix Expert,2021,3899.0,5500.0,Ferme,Specialized,Route,2023-01-03 12:00:00,3,0,Très Bon État
