PrixOrigine,Marque,Categorie,FlagElectrique,EtatVeloLabel,Depreciation%,DepreciationEUR,Anciennete
2199.0,Cannondale,Route,0,Usé,-0.645293315143247,-1419.0,8.306849315068494
6599.0,Orbea,Route,0,Bon État,-0.5152295802394302,-3400.0,1.3013698630136987
7800.0,Giant,Aero / CLM,0,Bon État,-0.29500000000000004,-2301.0,0.3013698630136986
2999.0,Lapierre,Route,0,Bon État,-0.3167722574191397,-950.0,5.304109589041096
3999.0,Trek,Route,0,Bon État,-0.3750937734433608,-1500.0,4.304109589041096
6100.0,Giant,Aero / CLM,0,Bon État,-0.2624590163934426,-1601.0,1.3013698630136987
4200.0,Cannondale,Route,0,Bon État,-0.40476190476190477,-1700.0,5.304109589041096
4299.0,Cannondale,Route,0,Bon État,-0.5115143056524774,-2199.0,6.304109589041096
4899.0,Orbea,Route,0,Comme Neuf,-0.2651561543172076,-1299.0,1.3013698630136987
8000.0,Look,Route,0,Bon État,-0.55,-4400.0,2.3013698630136985
8000.0,Scott,Aero / CLM,0,Bon État,-0.65875,-5270.0,6.304109589041096
5600.0,Orbea,Route,0,Comme Neuf,-0.25,-1400.0,2.3013698630136985
3800.0,Look,Route,0,Très Bon État,-0.13157894736842102,-500.0,0.3013698630136986
5500.0,Specialized,Route,0,Très Bon État,-0.29109090909090907,-1601.0,1.3013698630136987
6299.0,Cannondale,Route,0,Comme Neuf,-0.2063819653913319,-1300.0,0.3013698630136986
7500.0,BMC,Aero / CLM,0,Bon État,-0.3866666666666667,-2900.0,1.3013698630136987
5300.0,Giant,Route,0,Très Bon État,-0.16981132075471694,-900.0,1.3013698630136987
5999.0,BMC,Route,0,Comme Neuf,-0.08334722453742294,-500.0,0.3013698630136986
8100.0,Giant,Route,0,Comme Neuf,-0.3827160493827161,-3100.0,0.3013698630136986
12499.0,Specialized,Route,1,Comme Neuf,-0.12000960076806144,-1500.0,2.3013698630136985
1599.0,Lapierre,Route,0,Bon État,-0.12445278298936835,-199.0,2.3013698630136985
5000.0,Look,Route,0,Bon État,-0.6,-3000.0,3.304109589041096
2599.0,Cannondale,Route,0,Bon État,-0.2881877645248172,-749.0,3.304109589041096
4899.0,Trek,Route,0,Bon État,-0.22433149622371917,-1099.0,1.3013698630136987
2200.0,Giant,Route,0,Très Bon État,-0.18181818181818177,-400.0,0.3013698630136986
8499.0,Canyon,Aero / CLM,0,Très Bon État,-0.05988939875279442,-509.0,0.3013698630136986
13099.0,Trek,Route,0,Très Bon État,-0.43507137949461794,-5699.0,1.3013698630136987
2600.0,Specialized,Route,0,Très Bon État,-0.2692307692307693,-700.0,2.3013698630136985
6700.0,Trek,Route,0,Bon État,-0.4044776119402985,-2710.0,3.304109589041096
6000.0,Specialized,Route,0,Bon État,-0.6166666666666667,-3700.0,4.304109589041096
4199.0,Giant,Route,0,Comme Neuf,-0.2855441771850441,-1199.0,1.3013698630136987
3990.0,Scott,Route,0,Comme Neuf,-0.17543859649122806,-700.0,1.3013698630136987
3299.0,Scott,Route,0,Très Bon État,-0.1542891785389512,-509.0,1.3013698630136987
3599.0,Scott,Aero / CLM,0,Usé,-0.1942206168380105,-699.0,6.304109589041096
6299.0,Scott,Route,0,Bon État,-0.36497856802667095,-2299.0,1.3013698630136987
9200.0,Scott,Route,1,Bon État,-0.32608695652173914,-3000.0,0.3013698630136986
5000.0,BMC,Route,0,Bon État,-0.21999999999999997,-1100.0,2.3013698630136985
2990.0,Trek,Route,0,Comme Neuf,-0.2642140468227425,-790.0,0.3013698630136986
8198.0,Look,Route,0,Très Bon État,-0.7865333008050744,-6448.0,5.304109589041096
4999.0,Trek,Route,0,Bon État,-0.5399079815963193,-2699.0,4.304109589041096
2350.0,Giant,Route,0,Bon État,-0.36170212765957444,-850.0,1.3013698630136987
3800.0,Canyon,Aero / CLM,0,Très Bon État,-0.07894736842105265,-300.0,1.3013698630136987
6200.0,Specialized,Route,0,Usé,-0.7258064516129032,-4500.0,4.304109589041096
7000.0,Look,Aero / CLM,0,Bon État,-0.6571428571428571,-4600.0,2.3013698630136985
1999.0,Lapierre,Route,0,Très Bon État,-0.2996498249124562,-599.0,2.3013698630136985
4999.0,Scott,Route,0,Bon État,-0.3998799759951991,-1999.0,1.3013698630136987
4999.0,Scott,Route,0,Bon État,-0.3998799759951991,-1999.0,1.3013698630136987
3500.0,Scott,Aero / CLM,0,Usé,-0.5142857142857142,-1800.0,6.304109589041096
6999.0,Scott,Route,0,Bon État,-0.48564080582940417,-3399.0,2.3013698630136985
10000.0,BMC,Route,0,Comme Neuf,-0.4,-4000.0,1.3013698630136987
10000.0,BMC,Route,0,Bon État,-0.48,-4800.0,1.3013698630136987
5500.0,Liv,Route,0,Comme Neuf,-0.34563636363636363,-1901.0,0.3013698630136986
3249.0,Trek,Route,0,Usé,-0.507540781779009,-1649.0,4.304109589041096
3999.0,Trek,Route,0,Bon État,-0.6249062265566392,-2499.0,6.304109589041096
1099.0,Scott,Route,0,Très Bon État,-0.454049135577798,-499.0,3.304109589041096
14500.0,Specialized,Route,0,Très Bon État,-0.3793103448275862,-5500.0,0.3013698630136986
