,Depreciation%
0,-0.645293315143247
1,-0.5152295802394302
2,-0.29500000000000004
3,-0.3167722574191397
4,-0.3750937734433608
5,-0.2624590163934426
6,-0.40476190476190477
7,-0.5115143056524774
8,-0.2651561543172076
9,-0.55
10,-0.65875
11,-0.25
12,-0.13157894736842102
13,-0.29109090909090907
14,-0.2063819653913319
15,-0.3866666666666667
16,-0.16981132075471694
17,-0.08334722453742294
18,-0.3827160493827161
19,-0.12000960076806144
20,-0.12445278298936835
21,-0.6
22,-0.2881877645248172
23,-0.22433149622371917
24,-0.18181818181818177
25,-0.05988939875279442
26,-0.43507137949461794
27,-0.2692307692307693
28,-0.4044776119402985
29,-0.6166666666666667
30,-0.2855441771850441
31,-0.17543859649122806
32,-0.1542891785389512
33,-0.1942206168380105
34,-0.36497856802667095
35,-0.32608695652173914
36,-0.21999999999999997
37,-0.2642140468227425
38,-0.7865333008050744
39,-0.5399079815963193
40,-0.36170212765957444
41,-0.07894736842105265
42,-0.7258064516129032
43,-0.6571428571428571
44,-0.2996498249124562
45,-0.3998799759951991
46,-0.3998799759951991
47,-0.5142857142857142
48,-0.48564080582940417
49,-0.4
50,-0.48
51,-0.34563636363636363
52,-0.507540781779009
53,-0.6249062265566392
54,-0.454049135577798
55,-0.3793103448275862
56,-0.18604651162790697
57,-0.3666666666666667
58,-0.5142857142857142
59,-0.375
60,-0.5001
61,-0.5
62,-0.14265301262205288
63,-0.4666666666666667
64,-0.21739130434782605
65,-0.5
66,-0.45833333333333337
67,-0.4812036076302977
68,-0.21698113207547165
69,-0.3459022701038861
70,-0.10001111234581617
71,-0.38888888888888884
72,-0.34246575342465757
73,-0.41470588235294115
74,-0.4
75,-0.2727272727272727
76,-0.3648648648648649
77,-0.25
78,-0.2777777777777778
79,-0.1428571428571429
80,-0.1428571428571429
81,-0.21295077652013683
82,-0.19999999999999996
83,-0.005297233666862855
84,-0.7817983453041186
85,-0.2571428571428571
86,-0.4636363636363636
87,-0.35365853658536583
88,-0.1885261370069824
89,-0.2777777777777778
90,-0.25006251562890724
91,-0.06666666666666665
92,-0.23392857142857137
93,-0.4444444444444444
94,-0.4545454545454546
95,-0.2857142857142857
96,-0.2857142857142857
97,-0.30175504812228726
98,-0.24528301886792447
99,-0.3846153846153846
100,-0.28545909253304746
101,-0.5774647887323944
102,-0.1160735054663875
103,-0.33333333333333337
104,-0.3333650823887989
105,-0.19981391021167716
106,-0.17967186874749896
107,-0.25703671953136165
108,-0.37142857142857144
109,-0.65625
110,-0.4281629735525375
111,-0.36353993029246856
112,-0.25516067248350716
113,-0.2222222222222222
114,-0.4496942745969983
115,-0.8454404945904173
116,-0.23518164435946465
117,-0.4916087472452958
118,-0.23469387755102045
119,-0.18410317146993027
120,-0.416618051504292
121,-0.2142857142857143
122,-0.5124390548818603
123,-0.2000377429703718
124,-0.38783425188814047
125,-0.44356120826709067
126,-0.14843053767699776
127,-0.15138657372329145
128,-0.37515631513130476
129,-0.42500000000000004
130,-0.04905540561993971
131,-0.23809523809523814
132,-0.09909909909909909
133,-0.3732497666355514
134,-0.48888888888888893
135,-0.09983015663332706
136,-0.48684210526315785
137,-0.5319148936170213
138,-0.5618421052631579
139,-0.18604651162790697
140,-0.26
141,-0.2500543596434007
142,-0.5261911029218216
143,-0.19999999999999996
144,-0.36363636363636365
145,-0.45833333333333337
146,-0.2056818181818182
147,-0.2500217410209583
148,-0.36363636363636365
149,-0.5220236782116332
150,-0.4696969696969697
151,-0.6571428571428571
152,-0.3023255813953488
153,-0.1247811952988247
154,-0.2894736842105263
155,-0.28915662650602414
156,-0.13317572892040974
157,-0.4545454545454546
158,-0.3125
159,-0.25
160,-0.6166666666666667
161,-0.16874999999999996
162,-0.19660714285714287
163,-0.2222222222222222
164,-0.41167818796881894
165,-0.3496748374187093
166,-0.17940301569391737
167,-0.10344827586206895
168,-0.12962962962962965
169,-0.149822879766618
170,-0.31422040194304224
171,-0.3475424097433667
172,-0.3913043478260869
173,-0.26190476190476186
174,-0.22656354180557403
175,-0.5124390548818603
176,-0.3284754964994999
177,-0.262963937878389
178,-0.5103448275862069
179,-0.6588235294117647
180,-0.31818181818181823
181,-0.23674167653638634
182,-0.06349206349206349
183,-0.3461035464266482
184,-0.2003076923076923
185,-0.16655981536094366
186,-0.6295610298203371
187,-0.33999999999999997
188,-0.2464721194684203
189,-0.42105263157894735
190,-0.3597438975590236
191,-0.30666666666666664
192,-0.1589825119236884
193,-0.5
194,-0.45143594707970314
195,-0.303030303030303
196,-0.07896814951302977
197,-0.19999999999999996
198,-0.23076923076923073
199,-0.20967741935483875
200,-0.1470588235294118
201,-0.50025
202,-0.4120588235294118
203,-0.4
204,-0.33333333333333337
205,-0.16666666666666663
206,-0.06666666666666665
207,-0.49958298582151794
208,-0.3383597476534852
209,-0.33311103701233746
210,-0.2164054684894965
211,-0.15000000000000002
212,-0.22178988326848248
213,-0.11428571428571432
214,-0.24561403508771928
215,-0.33333333333333337
216,-0.2931034482758621
217,-0.4714285714285714
218,-0.33288859239492996
219,-0.5776839297621694
220,-0.09198578760363207
221,-0.4427775396485212
222,-0.04349717268377551
223,-0.03846647006026416
224,-0.22590837282780407
225,-0.40476190476190477
226,-0.15000000000000002
227,-0.47
228,-0.4998999799959992
229,-0.32081524816003015
230,-0.11712772218952328
231,-0.39969984992496244
232,-0.25373134328358204
233,-0.3799682034976153
234,-0.36369440306448175
235,-0.5106382978723405
236,-0.4392240072749318
237,-0.38414164742109314
238,-0.20454545454545459
239,-0.12926829268292683
240,-0.3546305259761213
241,-0.34375
242,-0.1071428571428571
243,-0.04761904761904767
244,-0.4873718429607402
245,-0.20287589871834943
246,-0.15000000000000002
247,-0.2857142857142857
248,-0.042349436050223455
249,-0.375
250,-0.19959979989995003
251,-0.23409236007661205
252,-0.27007299270072993
253,-0.255002128565347
254,-0.5111458740711772
255,-0.33288859239492996
256,-0.11542901115813775
257,-0.40625
258,-0.23320553425570933
259,-0.15371595630096935
260,-0.1111358079573238
261,-0.1111358079573238
262,-0.35
263,-0.30239590602465694
264,-0.33333333333333337
265,-0.1998666444407401
266,-0.26111111111111107
267,-0.5087719298245614
268,-0.31976744186046513
269,-0.5998399359743898
270,-0.3750937734433608
271,-0.538283955367449
272,-0.15371595630096935
273,-0.15371595630096935
274,-0.12729587197672299
275,-0.32533733133433285
276,-0.20004445432318296
277,-0.4130434782608695
278,-0.45444626295690127
279,-0.28260869565217395
280,-0.382
281,-0.21742281490071025
282,-0.29685201529861727
283,-0.4486215538847118
284,-0.28888888888888886
285,-0.38284741434347735
286,-0.1998769041390983
287,-0.19999999999999996
288,-0.1663887962654218
289,-0.1663887962654218
290,-0.1663887962654218
291,-0.21716439547694988
292,-0.21600432549337656
293,-0.32608695652173914
294,-0.42500000000000004
295,-0.26672593909757725
296,-0.13636363636363635
297,-0.18604651162790697
298,-0.34533551554828146
299,-0.191317301553522
300,-0.1160735054663875
301,-0.1333333333333333
302,-0.21568627450980393
303,-0.20004445432318296
304,-0.22204934429873302
305,-0.06645921315847969
306,-0.16688888888888886
307,-0.4375
308,-0.16672224074691566
309,-0.31438127090301005
310,-0.22387030010348397
311,-0.13337779259753246
312,-0.26
313,-0.23444444444444446
314,-0.34545454545454546
315,-0.38467456531774125
316,-0.2664221407135712
317,-0.02357704215289358
318,-0.0714285714285714
319,-0.24615384615384617
320,-0.125
321,-0.25
322,-0.2962962962962963
323,-0.21162467151027975
324,-0.569377990430622
325,-0.569377990430622
326,-0.4
327,-0.22741935483870968
328,-0.47836486192650574
329,-0.23529411764705888
330,-0.32775063968364737
331,-0.4066666666666666
332,-0.44999999999999996
333,-0.5008333333333334
334,-0.5001428571428572
335,-0.48431578947368426
336,-0.25035714285714283
337,-0.3516483516483516
338,-0.357429718875502
339,-0.5
340,-0.24
341,-0.29166666666666663
342,-0.4693877551020408
343,-0.36734693877551017
344,-0.36624416277518346
345,-0.29985997199439884
346,-0.47719688542825367
347,-0.5128205128205128
348,-0.4427775396485212
349,-0.07499999999999996
350,-0.3397358943577431
351,-0.21052631578947367
352,-0.4466907852734624
353,-0.30536260072242294
354,-0.5999272595017275
355,-0.43999999999999995
356,-0.5142857142857142
357,-0.44545454545454544
358,-0.3142857142857143
359,-0.42522128980342566
360,-0.27822629232437646
361,-0.4284081166047442
362,-0.430379746835443
363,-0.4165451135653261
364,-0.3902439024390244
365,-0.303030303030303
366,-0.09416871107756175
367,-0.5482778091473743
368,-0.20731707317073167
369,-0.05437352245862881
370,-0.575
371,-0.1525682319037125
372,-0.599799899949975
373,-0.3571428571428571
374,-0.24981245311327827
375,-0.3993993993993994
376,-0.46153846153846156
377,-0.41666666666666663
378,-0.17967186874749896
379,-0.5894304663648805
380,-0.45157526254375724
